date,description,net_amount,vat_amount,category
20/03/2025,RNIR Retention Release OM1 - KM8 - Programme 20% + RNIR Retention Release OM1 - KM8 - Capital ,1200589.98,0.0,Information Technology (Owned) - Cost – Additions
26/03/2025,Renewals of Roads,1199000.0,0.0,TA Renewal of Roads - Capital
20/03/2025,Live Labs 2 2024/25 second payment,1198500.0,0.0,Cap Grt Loc Auth
24/03/2025,Consolidated Active Travel Fund 1,1162204.0,0.0,CurrGrt Las in AEF/A
14/03/2025,#,1157555.01,0.0,Post Office Charges
17/03/2025,Corporate Support Services,1144238.52,0.0,TA Cost AUC – Non SRN
28/03/2025,2601 Wk4 Performance & Management Fees FY23/24 P24,1143788.0,0.0,TOCPerfMgmtFee(Pub)
27/03/2025,ZEBRA 2,1142102.1,0.0,Cap Grt Loc Auth
25/03/2025,Renewals of Roads,1141360.91,0.0,TA Renewal of Roads - Capital
10/03/2025,Cert 62 MWCC South,1138821.5,0.0,Input VAT
11/03/2025,Operate Roads PFI Management Cost,1137311.49,0.0,PFI Service Payments
24/03/2025,Consolidated Active Travel Fund 2,1135743.0,0.0,CurrGrt Las in AEF/A
03/03/2025,Provision of services to carry out asset analysis and diversionary work,1118426.17,0.0,AUC - Phase 1
24/03/2025,Consolidated Active Travel Fund 1,1111735.0,0.0,CurrGrt Las in AEF/A
20/03/2025,Live Labs 2 2024/25 second payment,1104485.0,0.0,Cap Grt Loc Auth
27/03/2025,ZEBRA 2,1094125.58,0.0,Cap Grt Loc Auth
06/03/2025,REGION A CHARGES FOR FEBRUARY 2025 DY4,1089547.51,0.0,THEORY TEST VARIABLE CHARGES
07/03/2025,Operate Roads PFI Service Payments,1084827.22,0.0,PFI Service Payments
31/03/2025,PAYG PILOT IN G. MANCHESTER (P1 DELIVERY),1080977.0,0.0,Cap Grt Loc Auth
07/03/2025,Feasibility,1079305.56,0.0,TA Cost AUC - Programme
28/03/2025,2601 Wk4 NRC RevADJ - RP2512 - Trenitalia C2C RAIL,1078752.82,0.0,TOCRevenue(Pub)
24/03/2025,Protocol Dart Charge,1068282.37,0.0,Contractor Costs
15/03/2025,#,1067915.16,0.0,Mail Collection/Deli
01/03/2025,FCC- Business Continuity and Business relocation agreements,1064701.17,0.0,AUC - Phase 1
27/03/2025,ZEBRA 2,1052628.86,0.0,Cap Grt Loc Auth
19/03/2025,Renewals of Roads,1037422.23,0.0,TA Renewal of Roads - Capital
27/03/2025,ZEBRA 2,1036519.93,0.0,Cap Grt Loc Auth
13/03/2025,Protocol Dart Charge,1036496.07,0.0,Contractor Costs
18/03/2025,SR 9001241749,1024246.49,0.0,Support Services
28/03/2025,2601 Wk4 EMR_NRC_PCPJRev_P2512 - Transport UK East,1024157.93,0.0,TOCRevenue(Pub)
24/03/2025,Consolidated Active Travel Fund 1,1021566.0,0.0,CurrGrt Las in AEF/A
10/03/2025,REGION C CHARGES FOR FEBRUARY 2025 DY4,1020460.22,0.0,THEORY TEST VARIABLE CHARGES
24/03/2025,Levelling Up Fund Payment 19 for Round 1 Schemes,1019355.0,0.0,Cap Grt Loc Auth
27/03/2025,ZEBRA 2,1017257.05,0.0,Cap Grt Loc Auth
14/03/2025,RIS 2 Schemes,1012870.73,0.0,TA Cost AUC - Programme
06/03/2025,FSI ATM/ANS Jan 25,1000899.8,0.0,Cap Grt NDPBs & CG
24/03/2025,Consolidated Active Travel Fund 2,996425.0,0.0,CurrGrt Las in AEF/A
24/03/2025,Consolidated Active Travel Fund 1,992296.0,0.0,CurrGrt Las in AEF/A
27/03/2025,Routine Maintenance,990970.6,0.0,RM - Electricity costs
25/03/2025,Operate Roads PFI Service Payments,988050.48,0.0,PFI Service Payments
20/03/2025,Live Labs 2 2024/25 second payment,985272.0,0.0,Cap Grt Loc Auth
05/03/2025,Complex Schemes,980000.0,0.0,TA Cost AUC – Non SRN
27/03/2025,FSI ATM/ANS Feb 25,974637.9,0.0,Cap Grt NDPBs & CG
